sample	pop	spp	region	contgroup	country
Debug011_aegypti_KayaBomu_Kenya_12	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_KayaBomu_Kenya_14	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_KayaBomu_Kenya_15	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_KayaBomu_Kenya_28	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug011_aegypti_KayaBomu_Kenya_30	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_KayaBomu_Kenya_32	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_KayaBomu_Kenya_34	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_KayaBomu_Kenya_36	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_KayaBomu_Kenya_37	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_KayaBomu_Kenya_38	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_KayaBomu_Kenya_39	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_KayaBomu_Kenya_40	KayaBomu	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_01	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_06	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_10	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_11	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_13	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_16	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_17	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_22	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_23	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_28	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_29	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_33	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_34	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Kwale_Kenya_35	Kwale	AAF	East Africa	Eafrica	Kenya
Debug014_aegypti_Kwale_Kenya_36	Kwale	AAF	East Africa	Eafrica	Kenya
Debug014_aegypti_Kwale_Kenya_37	Kwale	AAF	East Africa	Eafrica	Kenya
Debug014_aegypti_Kwale_Kenya_38	Kwale	AAF	East Africa	Eafrica	Kenya
Debug014_aegypti_Kwale_Kenya_39	Kwale	AAF	East Africa	Eafrica	Kenya
Debug014_aegypti_Kwale_Kenya_40	Kwale	AAF	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_01	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_02	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_03	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_04	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_05	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_08	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_09	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_12	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_13	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_16	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_17	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_20	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_21	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_25	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_28	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_29	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_Rabai_Kenya_33	Rabai_2017	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2009_F_10	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2009_F_11	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2009_F_12	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2009_F_13	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2009_F_1	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2009_F_3	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2009_F_4	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2009_F_9	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2009_M_5	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2009_M_6	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2011_F_15	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug017_aegypti_Rabai_Kenya_2011_M_16	Rabai_2009	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_ShimbaHills_Kenya_01	ShimbaHills	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_ShimbaHills_Kenya_02	ShimbaHills	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_ShimbaHills_Kenya_07	ShimbaHills	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_ShimbaHills_Kenya_08	ShimbaHills	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_ShimbaHills_Kenya_09	ShimbaHills	ADMX	East Africa	Eafrica	Kenya
Debug012_aegypti_ShimbaHills_Kenya_12	ShimbaHills	ADMX	East Africa	Eafrica	Kenya
Debug014_aegypti_ShimbaHills_Kenya_23	ShimbaHills	AAF	East Africa	Eafrica	Kenya
Debug014_aegypti_ShimbaHills_Kenya_24	ShimbaHills	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_01	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_02	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_03	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_04	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_05	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_06	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_07	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_11	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_12	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_13	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_15	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_16	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_17	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_19	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug013_aegypti_Virhembe_Kenya_20	Virhembe	AAF	East Africa	Eafrica	Kenya
Debug014_aegypti_Entebbe_Uganda_01	Entebbe	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Entebbe_Uganda_03	Entebbe	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Entebbe_Uganda_04	Entebbe	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Entebbe_Uganda_10	Entebbe	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Entebbe_Uganda_11	Entebbe	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Entebbe_Uganda_14	Entebbe	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Entebbe_Uganda_15	Entebbe	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Entebbe_Uganda_20	Entebbe	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Entebbe_Uganda_21	Entebbe	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Entebbe_Uganda_23	Entebbe	AAF	East Africa	Eafrica	Uganda
Debug014_aegypti_Entebbe_Uganda_24	Entebbe	AAF	East Africa	Eafrica	Uganda
Debug013_aegypti_Bundibugyo_Uganda_01	Bundibugyo	AAF	East Africa	Eafrica	Uganda
Debug013_aegypti_Bundibugyo_Uganda_04	Bundibugyo	AAF	East Africa	Eafrica	Uganda
Debug013_aegypti_Bundibugyo_Uganda_09	Bundibugyo	AAF	East Africa	Eafrica	Uganda
