Debug019_aegypti_El_Dorado_Argentina_U_10	Debug019_aegypti_El_Dorado_Argentina_U_11	Debug019_aegypti_El_Dorado_Argentina_U_2	Debug019_aegypti_El_Dorado_Argentina_U_4	Debug019_aegypti_El_Dorado_Argentina_U_5	Debug031_aegypti_El_Dorado_US_U_24	Debug031_aegypti_El_Dorado_US_U_25	Debug031_aegypti_El_Dorado_US_U_26	Debug031_aegypti_El_Dorado_US_U_28	Debug031_aegypti_El_Dorado_US_U_29	Debug031_aegypti_El_Dorado_US_U_30	Debug031_aegypti_El_Dorado_US_U_31	Debug016_aegypti_Cali_Colombia_U_10	Debug016_aegypti_Cali_Colombia_U_11	Debug016_aegypti_Cali_Colombia_U_12	Debug016_aegypti_Cali_Colombia_U_5	Debug016_aegypti_Cali_Colombia_U_8	Debug016_aegypti_Cali_Colombia_U_9	Amacuzac_Mexico-_12	Amacuzac_Mexico-_15	Amacuzac_Mexico-_21	Amacuzac_Mexico-_2	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-10	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-11	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-16	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-17	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-18	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-20	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-24	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-3	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-4	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-5	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-6	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-7	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-8
380079	526129	410731	588828	543556	643052	618728	488650	396602	505828	555794	291702	323318	346751	291547	356333	491603	373174	889036	877865	988076	916428	704285	494214	516681	627259	430890	387553	479313	556128	667214	543484	364131	464471	373718
2971021	3859250	3156465	3930093	3858367	4285214	4341879	4049162	2704688	3155309	4281177	2476046	2958646	3023542	2585762	3087080	4169452	3252079	6299253	5247240	7718991	7115564	4889958	3121653	3311172	4878573	3359579	2737653	3617410	4187626	4331887	3795563	2835893	3567878	3252194
631037	840866	647039	884865	866987	998544	1025771	917858	570292	690600	1050650	577393	533230	508671	457156	551244	814527	559142	1298629	1110566	1604584	1415272	967922	698162	644092	943070	642888	580782	714480	804701	869644	803030	509625	762807	635539
622954	876448	566994	812419	835706	1011514	1021217	746153	520154	577337	1143645	575669	444995	427432	411720	507001	692311	643500	1172089	979800	1296823	1054889	1080070	600198	650233	729888	578256	468360	639126	695039	913944	555362	530748	859527	594720
11927	0	7617	15673	15092	7365	8136	7110	0	0	5248	4170	9573	4164	4641	5243	741	15156	46650	23299	38886	22661	19757	8080	15810	15272	9063	16007	8729	8733	23169	8547	7304	16113	6694
53668	77355	54398	75250	79549	86045	92403	68451	44203	49866	87583	42838	44970	49507	46386	56240	79804	72543	119973	101405	139764	98427	99642	67192	73076	82172	48038	48869	59534	63315	89020	69931	53064	72194	52161
21396	23931	18392	22649	23427	31367	26915	25976	16245	22639	25763	14024	17212	18136	11682	18015	27776	22851	36381	43389	52057	41247	33109	22112	21274	38417	22557	20113	24969	30444	31287	29392	22048	22673	19669
27321	35815	30494	31645	38448	41342	39967	36839	27725	30540	39166	23158	27575	24874	22844	31030	36219	30477	60008	48498	77319	64569	43581	36721	33414	42738	36387	29525	36061	42420	46329	35416	29566	33955	32321
1976794	2188875	1966495	2187448	2119615	2582360	2645759	2323841	1703916	2000495	2588557	1689932	1844607	1839397	1862934	2209805	2948852	2245798	3903531	3675305	5114381	3640388	2845724	2152863	2176797	2522363	1991800	1755234	2275673	2452006	2562285	2416063	1615926	2202587	1932630
4433195	5463475	4906688	5797897	5823431	6516553	6504249	6210868	4380830	4914908	5804440	3636785	3883541	3940394	3908251	4625611	5981110	4298384	8268204	7890283	10614990	11442977	6565977	4629100	5102057	7982943	4677549	4220409	4909641	5889214	7422908	5846154	4631489	5188403	4473661
1359795	1977605	1621083	1716682	1674610	2043983	2028972	1944552	1508354	1766683	2406218	1513105	1576265	1628019	1315357	1638932	2196436	1579880	3683601	3160130	4884678	3658501	2830324	1801332	2184946	2604345	1833546	1893411	2204043	2521372	2952866	2180213	1713588	2179503	1821318
1996395	2519997	2085106	2541339	2535721	2918998	2889270	2646731	1906620	2158858	2891970	1652648	1940215	1925570	1523914	1877174	2807709	2265388	4271741	3844955	5621231	4428925	3284957	2499866	2483570	3168090	2336585	2159235	2508654	2924939	3379387	2436440	1942892	2507946	2121095
1208270	1678836	1271499	1563534	1631962	2121504	2054693	1540178	1220247	1365372	2118725	1189278	1269491	1326326	1212001	1329598	1894346	1486045	3015468	2524833	3600895	2663359	1950196	1733160	1339285	1905661	1526676	1262895	1595542	1884467	2577933	1807655	1455428	1773229	1485883
5566060	6919847	6117655	7165194	7229393	8357703	8235640	7457287	5524705	6348695	7516845	4973915	5636080	5679811	5169540	6267343	8549634	6629502	12907610	11666867	15955452	12117116	9144561	7033354	7531067	8658760	6730418	6203655	7499425	8429907	9850419	8096529	5721160	7041017	6426630
36585	38267	45633	44312	45979	59165	51926	47942	34833	39865	44292	31414	28277	29481	22642	31119	43956	38115	69804	62358	93957	81345	56375	44181	42720	61264	34093	35828	48042	46908	54785	46831	33572	39533	37088
3592105	5214314	4857808	5984023	5916383	6454653	6259222	5620885	3962039	4790653	6219147	3541004	4032720	4098923	3496499	4222585	5196813	4545932	9025502	7531078	12653288	7092105	6726285	4701156	4820847	4851432	5231994	4056638	5049358	6420160	6289477	5598898	4024702	4814065	4455369
87381	266040	141956	183276	187018	177069	209947	223037	212388	238626	409961	220706	161938	178926	178040	220446	301765	267305	618683	423849	587405	507843	223601	268450	162321	498784	354139	147429	376571	429252	226924	300171	198571	181827	243069
27111	32625	27673	36185	32911	35267	38315	32657	20458	27420	36114	20090	18182	25216	20247	17837	28919	26130	58595	45913	68014	47241	39626	26504	22698	40859	29475	28527	31402	33338	36307	36009	19493	28228	25547
2396424	3220979	2992831	3608340	3660975	4448283	4416146	3373287	2745613	3188071	3466128	2041181	2628382	2680054	2332886	2746482	3194175	3180627	5486628	4520182	6491438	4831871	4295610	2808748	2994186	3378022	2809995	2681052	2901569	3545409	4297725	3462247	2620263	2669723	2467428
383390	512153	515957	568246	571020	661907	527888	499124	423491	464870	488126	378820	309236	306023	277601	338131	483976	399571	703630	629499	844497	740422	877730	456765	402464	500271	433817	420226	436581	505291	666834	514480	447713	431616	389118
212817	243217	206748	277265	299460	341904	356027	256115	207254	228188	210355	140143	148206	150211	163323	201194	278033	245478	352220	394007	482663	427625	333734	263368	207856	323462	190919	213069	204285	233932	291130	289367	148080	164537	171737
104642	69643	184097	185242	165236	211453	232566	136154	125048	172288	131906	78244	103950	116163	80920	116622	162302	138012	204533	280271	238931	248242	239154	166684	92507	174113	80107	108120	121469	104767	218953	170916	139057	121250	97445
981139	1389121	1310271	1643458	1661104	1859829	1845617	1433241	1224757	1400592	1386505	838881	924522	955495	738290	871439	1107707	1311963	2066021	2115446	2977834	2917466	1936550	1290064	1311673	2065013	1102927	1155102	1276360	1425415	1786240	1505445	956985	1142488	993984
432569	698682	457250	558219	557431	744901	665213	687481	533537	592418	906550	479084	388799	410307	338728	404563	558983	473701	1072943	750832	1565363	1158756	632968	604874	488578	979837	575178	413671	504572	726284	631990	662542	388472	494119	608594
37198	49897	41090	46444	47315	54580	63598	52092	32951	35937	55198	32430	32910	34826	29026	38183	48953	40775	77234	61347	93535	79477	60271	37435	52873	61257	41133	46948	49482	48030	61675	50481	38142	43880	44461
647482	876084	698982	904626	958446	1049841	1006864	740929	527210	647037	772602	511295	348078	368546	354790	470898	617219	414327	846723	802062	1236013	1158588	611318	503713	562685	794276	505476	493258	529925	642788	841028	600792	452435	547485	530214
54931	74109	56318	72457	75394	90390	91449	70750	55991	68018	80625	51385	48627	48248	39387	58867	73751	55613	113113	107270	157956	135659	95748	65219	64310	100596	60157	68893	65053	81281	88218	77278	52810	75243	60306
29862	105355	22363	48344	52111	31168	22824	52322	24118	30762	38096	38506	12987	11485	23259	14517	22571	14778	75087	23379	80077	142079	45881	14156	58333	92474	27636	43053	29339	46496	55280	33613	36972	20673	39207
798721	973986	864451	1022808	1017712	1286128	1283956	1089677	803519	955421	1024105	662876	666113	670220	626747	748641	999446	772226	1564650	1420498	2099723	1779411	1288729	897437	886662	1292606	869492	817616	952414	1057108	1288338	1084273	752987	912034	792934
16053	5827	13202	16050	10783	62590	68148	12180	52794	57495	10614	7032	9338	9477	13020	8176	9814	12807	20595	87402	103955	33505	131791	37829	78278	19093	7010	36211	47429	50264	163807	11453	11329	44262	39773
37111	49461	45075	51486	55292	59650	64503	68590	38297	46177	60022	33647	44495	39911	32671	43569	51692	41732	83582	76372	119684	88920	64260	52186	50857	72045	49023	38116	47236	55435	69403	58179	37728	51239	45395
266486	305285	341290	392779	394470	348243	346986	303334	216119	229465	415331	217002	189116	222511	171410	230191	267783	281573	478860	408084	631076	546459	397492	259821	340532	344121	236830	266238	255444	296826	388822	317996	225911	299890	232352
25998	33865	29084	35541	30568	45258	34874	37166	28205	30138	31539	21444	26995	27378	16970	24366	34236	30210	57123	53869	68193	57130	43381	32335	27690	41564	27732	25645	34770	36876	41592	40237	22751	30439	25471
9783	8907	10209	12208	10547	11845	15900	9125	8867	8514	11372	7681	7708	5942	7288	10113	10131	9473	18004	16839	25477	19425	14231	10503	8598	13810	12235	9328	10757	12241	16746	9812	9619	13441	12725
116707	152341	130960	172954	172176	187788	188513	151640	115315	146263	196466	106403	97335	104186	91909	114782	167305	121309	273260	231961	367015	295130	204997	147275	165859	239174	151097	135024	159370	185997	201477	177441	126048	150240	141996
717642	882147	810900	1033984	1036905	1049729	970542	1002572	684468	807478	1143174	782577	623542	575146	540453	674147	943181	820133	1489501	1315376	2321757	1751835	1145257	947154	910994	1184893	943431	763240	1193318	1122148	1373072	943522	761208	929475	786156
153555	192095	117688	152011	163453	227995	229816	197357	147765	169077	145009	122344	145450	134350	105465	136683	189900	187532	292808	232401	493162	338224	179034	174431	143639	241363	194166	135139	247069	236307	245158	203265	153863	174511	177754
329417	513173	489324	533985	564322	584208	552975	571185	367456	418667	630770	373129	352533	352192	306625	338907	488692	476760	887896	812939	1139547	993157	682011	516972	534283	708679	480288	418496	564444	569783	719203	607216	429078	510854	410119
4000080	5486369	4175328	5367983	5550036	5709614	6166632	5795216	4070872	4857994	5722647	3594257	3730876	3835059	3656361	4460502	6141352	4733794	9295382	8552569	11504524	10252077	7070461	5595082	5258509	7059000	5474224	4453104	5895304	6207022	6910722	6318230	4420458	5415337	4505175
172748	226486	238219	246117	253410	322557	307625	228644	191644	212338	291131	157533	142418	155061	121460	135405	278335	212534	477760	416530	546920	499764	361215	269729	256016	369518	250255	234536	271574	300094	328104	278194	196086	243379	194992
1713264	2633661	2632408	3111357	3155989	2649408	2625394	2403365	1599035	1899467	3407745	1431007	1692852	1791501	1402994	1670168	2446379	2435737	4741670	4237407	5881684	4918031	3472084	2703250	2498296	3467586	2598142	2112363	2875768	3149451	3519794	2978270	2003508	2472415	2315980
71890	235794	271965	339986	323962	253670	148716	102614	124478	147210	343429	97834	345347	268681	171287	250012	333679	422810	445567	621186	737044	383899	447300	249031	54552	259127	194814	53526	249547	242196	272867	162482	170239	268492	135536
242895	271579	199667	234114	235961	361413	344795	325614	217825	257595	280542	195680	172063	178768	210020	250032	387156	229939	508430	421062	667285	595281	372704	266613	292064	417686	269211	242151	299329	330869	388922	324196	231681	283123	246037
12777	17418	11613	19429	14922	21382	16650	20498	19728	14082	16941	11481	12445	16316	12066	14209	19545	12556	26788	23511	41402	31626	19399	16684	19362	19467	15308	17388	16013	19007	19929	23300	12888	15843	12506
519839	700765	587445	682282	735801	752561	728789	675630	448148	518741	798548	434250	424049	423904	397801	501238	779173	489018	1040540	909361	1122769	1166832	834285	577477	585236	812889	575392	517730	531927	695598	885085	682764	506310	601633	502585
4899	5996	0	116	57	11729	9583	12794	7911	10285	120	6770	6313	3627	2452	3078	6353	10133	9932	9142	11701	1840	6190	1678	4485	1600	1141	4442	2564	918	492	6699	5086	5888	4159
19676	36128	23706	34869	42382	33722	35916	31338	17690	24234	31221	16980	17287	18469	16216	19439	23159	21086	40949	38868	57826	42854	33725	24655	24918	35683	21759	22122	25626	33163	31099	28004	22728	24234	39313
47626	60557	54616	59009	79234	72471	68264	74986	46385	49165	65925	43548	43286	48302	32075	50173	62759	54152	107336	91683	118827	106756	83996	56353	69545	87914	50273	46543	63914	79836	74650	75918	53453	58980	58595
10317	8774	6845	10837	11066	11980	14139	8347	6638	13150	11855	9664	4874	5699	5798	7085	10080	9839	15107	12882	23195	18585	13080	7967	7528	12933	9105	11179	10917	7155	13912	11522	7488	9326	7881
1766239	2186954	1760115	2153770	2150109	2541521	2607282	2331218	1590706	1780404	2452712	1401731	1505084	1612760	1332045	1632265	2401261	2302862	3851300	3139282	5272705	4112950	2837231	2063439	2052546	2901635	2013233	1723960	2337853	2491600	3346504	2402246	1729624	2155232	1900002
33019	40560	37412	42966	50715	49298	46102	48429	30957	33077	45199	29092	26191	30222	25686	32332	42534	33330	71945	59744	88112	73741	55665	35373	47902	62633	34173	33266	39969	44061	49832	49124	36312	47142	34179
15229	3496	11612	13074	13593	21809	17040	10200	5340	8817	13294	7736	21934	26942	16764	21986	34767	33966	37420	47558	41990	30361	13972	16997	11024	17918	15806	15285	16539	24195	26920	16901	12478	17655	17386
16239	20676	19003	17632	21887	24580	25435	21962	19577	19700	25617	16259	15377	16264	15201	17648	23987	19854	45720	34878	49935	43191	29849	22654	23125	27564	22520	19859	22415	23629	29735	27711	15903	22136	16197
10087	13820	8317	1634	6024	13024	6708	13479	1679	3098	15593	5072	2723	3547	0	54	6	7360	10949	24063	36796	15013	23347	16196	5487	11981	4332	203	11317	9679	15606	20328	11078	15800	5929
26153	30943	23707	35666	35618	40915	37125	29307	22972	26189	28900	18361	25938	27897	18327	23240	31061	28510	56688	52309	75739	61971	45445	32632	28131	45313	25792	29814	37216	35741	39737	33553	28140	29468	22620
