Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
0	0	-0.328234548253697	0.742734327816272	popdens	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.532719802765858	0.594227555944362	maxtemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.904227553012993	0.365874752929986	mintemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.399066327067534	0.689844332834153	precipitation	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.174935002132768	0.861130706600468	precseason	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.175769087482492	0.860475356115309	tempseason	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-1.3052	3.8307	-0.340728158795182	0.733308238158139	(Intercept)	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	-1.66281046846681	0.0963503804712919	abslat	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	-0.29206679095801	0.770235557168898	popdens	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	0.802711238899177	0.422141655419457	maxtemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	-0.961037162734552	0.336533482542713	mintemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	-0.482239819841084	0.629635592577186	precipitation	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
0	0	0.104155130739519	0.917046240719039	tempseason	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation + tempseason	TRUE
-1.3167	3.81	-0.345579917444335	0.729658440673506	(Intercept)	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
0	0	-1.75081099199912	0.0799784725696958	abslat	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
0	0	-0.284826185676398	0.775777309531582	popdens	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
0	0	1.00182185882791	0.316429638003218	maxtemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
0	0	-1.33276116079115	0.182610195174241	mintemp	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
0	0	-0.489407076075889	0.624553527403388	precipitation	X1_global_1	abslat + popdens + maxtemp + mintemp + precipitation	TRUE
-1.4504	3.7846	-0.38323332859879	0.701546768295311	(Intercept)	X1_global_1	abslat + maxtemp + mintemp + precipitation	TRUE
0	0	-1.81361481883711	0.0697370473825305	abslat	X1_global_1	abslat + maxtemp + mintemp + precipitation	TRUE
0	0	1.06392195541892	0.287364056048328	maxtemp	X1_global_1	abslat + maxtemp + mintemp + precipitation	TRUE
0	0	-1.44086431563678	0.149623019090227	mintemp	X1_global_1	abslat + maxtemp + mintemp + precipitation	TRUE
0	0	-0.461742656993902	0.644265877000768	precipitation	X1_global_1	abslat + maxtemp + mintemp + precipitation	TRUE
0	0	-0.764116963443918	0.444797544195825	(Intercept)	X1_global_1	abslat + maxtemp + mintemp	TRUE
0	0	-1.84031168570575	0.0657224907298226	abslat	X1_global_1	abslat + maxtemp + mintemp	TRUE
0	0	1.34689387350606	0.178014414960535	maxtemp	X1_global_1	abslat + maxtemp + mintemp	TRUE
0	0	-1.67861208345946	0.0932276700521767	mintemp	X1_global_1	abslat + maxtemp + mintemp	TRUE
0.791	1.992	0.397101818722426	0.691292378825516	(Intercept)	X1_global_1	abslat + mintemp	TRUE
