Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
0	0	0.900368275480678	0.367924297827213	precseason	X1_Wafrica_1	popdens + maxtemp + precipitation + precseason + tempseason	TRUE
0	0	0.378858383397254	0.704793029669641	tempseason	X1_Wafrica_1	popdens + maxtemp + precipitation + precseason + tempseason	TRUE
-5.3997	2.5082	-2.15284943172328	0.0313305137935513	(Intercept)	X1_Wafrica_1	popdens + precipitation + precseason + tempseason	TRUE
0	0	0.253559409303497	0.799835958607521	popdens	X1_Wafrica_1	popdens + precipitation + precseason + tempseason	TRUE
0	0	1.13135105474951	0.257907363570665	precipitation	X1_Wafrica_1	popdens + precipitation + precseason + tempseason	TRUE
0	0	1.07842126101824	0.280845803082655	precseason	X1_Wafrica_1	popdens + precipitation + precseason + tempseason	TRUE
0	0	0.381044678185599	0.703170096472477	tempseason	X1_Wafrica_1	popdens + precipitation + precseason + tempseason	TRUE
-10	0	-2.15704228913297	0.031002369567408	(Intercept)	X1_Wafrica_1	precipitation + precseason + tempseason	TRUE
0	0	1.12347347420288	0.26123646011997	precipitation	X1_Wafrica_1	precipitation + precseason + tempseason	TRUE
0	0	1.15301027944263	0.248906165307335	precseason	X1_Wafrica_1	precipitation + precseason + tempseason	TRUE
0	0	0.372344322579525	0.709636502468384	tempseason	X1_Wafrica_1	precipitation + precseason + tempseason	TRUE
-4.8429	1.9943	-2.42841776745671	0.0151648636759481	(Intercept)	X1_Wafrica_1	precipitation + precseason	TRUE
0	0	1.06449825302387	0.287103045380667	precipitation	X1_Wafrica_1	precipitation + precseason	TRUE
0	0	1.10792540638273	0.267894032211848	precseason	X1_Wafrica_1	precipitation + precseason	TRUE
0	0	-2.89996257118655	0.00373207221740294	(Intercept)	X1_Wafrica_1	precseason	TRUE
0	0	0.738869432274395	0.459986285490895	precseason	X1_Wafrica_1	precseason	TRUE
0	0	-0.13268214801521	0.894444761843996	(Intercept)	X2_SaudiArabia_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.533313661290337	0.593816472453257	popdens	X2_SaudiArabia_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.574535898945976	0.565605215011832	maxtemp	X2_SaudiArabia_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.231140217217842	0.817205872111141	mintemp	X2_SaudiArabia_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.979361988639161	0.327401151629003	precipitation	X2_SaudiArabia_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.39147958559611	0.695442775419801	precseason	X2_SaudiArabia_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.555698813933041	0.578416767535637	tempseason	X2_SaudiArabia_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.572	3.153	-0.18157861589639	0.855913431893882	(Intercept)	X2_SaudiArabia_1	popdens + maxtemp + precipitation + precseason + tempseason	TRUE
0	0	0.615322911726464	0.538341489480219	popdens	X2_SaudiArabia_1	popdens + maxtemp + precipitation + precseason + tempseason	TRUE
0	0	-0.628030328410008	0.52998407235278	maxtemp	X2_SaudiArabia_1	popdens + maxtemp + precipitation + precseason + tempseason	TRUE
0	0	1.08651354576342	0.277251851259753	precipitation	X2_SaudiArabia_1	popdens + maxtemp + precipitation + precseason + tempseason	TRUE
0	0	-0.422212495088336	0.672869922007584	precseason	X2_SaudiArabia_1	popdens + maxtemp + precipitation + precseason + tempseason	TRUE
0	0	0.876776265240758	0.380608173219276	tempseason	X2_SaudiArabia_1	popdens + maxtemp + precipitation + precseason + tempseason	TRUE
-0.4581	3.1428	-0.145756460514431	0.884113648212093	(Intercept)	X2_SaudiArabia_1	popdens + maxtemp + precipitation + tempseason	TRUE
0	0	0.505669803963335	0.613088469547646	popdens	X2_SaudiArabia_1	popdens + maxtemp + precipitation + tempseason	TRUE
0	0	-0.907907151759168	0.363927278765491	maxtemp	X2_SaudiArabia_1	popdens + maxtemp + precipitation + tempseason	TRUE
0	0	1.20356062420201	0.22875944629814	precipitation	X2_SaudiArabia_1	popdens + maxtemp + precipitation + tempseason	TRUE
0	0	0.975070492465513	0.32952529425948	tempseason	X2_SaudiArabia_1	popdens + maxtemp + precipitation + tempseason	TRUE
-0.429	3.127	-0.137151590350569	0.89091097451677	(Intercept)	X2_SaudiArabia_1	maxtemp + precipitation + tempseason	TRUE
0	0	-0.877920270442368	0.379986987959697	maxtemp	X2_SaudiArabia_1	maxtemp + precipitation + tempseason	TRUE
0	0	1.15259729072669	0.249075715776665	precipitation	X2_SaudiArabia_1	maxtemp + precipitation + tempseason	TRUE
0	0	0.930470952403257	0.352127297059855	tempseason	X2_SaudiArabia_1	maxtemp + precipitation + tempseason	TRUE
-3.01	1.15	-2.62219370935313	0.0087365758240853	(Intercept)	X2_SaudiArabia_1	precipitation + tempseason	TRUE
0	0	1.56204359479809	0.118277719234804	precipitation	X2_SaudiArabia_1	precipitation + tempseason	TRUE
0	0	0.825705107290874	0.408971394385706	tempseason	X2_SaudiArabia_1	precipitation + tempseason	TRUE
-2.31	0.73	-3.14638623266512	0.00165301556526039	(Intercept)	X2_SaudiArabia_1	precipitation	TRUE
0	0	1.33633666484562	0.181439257541349	precipitation	X2_SaudiArabia_1	precipitation	TRUE
2.48	3.28	0.756007097816745	0.449644940149871	(Intercept)	X2_Senegal_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	-0.28760285069552	0.773650762502107	popdens	X2_Senegal_1	popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
