pop1	pop2	pop3
Bantata	HoChiMin	Rabai2009
Bantata	HoChiMin	PortoVelho
Bantata	HoChiMin	Ponce
Bantata	HoChiMin	Playa
Bantata	HoChiMin	PK10
Bantata	HoChiMin	Pazar
Bantata	HoChiMin	PatosdeMinas
Bantata	HoChiMin	PassoFundo
Bantata	HoChiMin	Paqueta
Bantata	HoChiMin	Palmas
Bantata	HoChiMin	Pakistan
Bantata	HoChiMin	Ouahigouya
Bantata	HoChiMin	Ouaga
Bantata	HoChiMin	NorthDominica
Bantata	HoChiMin	Ngoye
Bantata	HoChiMin	NewOrleans
Bantata	HoChiMin	Mindin
Bantata	HoChiMin	Miami
Bantata	HoChiMin	Mecca
Bantata	HoChiMin	Maringa
Bantata	HoChiMin	MaricopaCounty
Bantata	HoChiMin	Manaus
Bantata	HoChiMin	LosAngeles
Bantata	HoChiMin	LopeVillage
Bantata	HoChiMin	Libreville
Bantata	HoChiMin	LasCruces
Bantata	HoChiMin	LaLope
Bantata	HoChiMin	Lagarto
Bantata	HoChiMin	Kwale
Bantata	HoChiMin	Kumasi
Bantata	HoChiMin	Kintampo
Bantata	HoChiMin	Kichwamba
Bantata	HoChiMin	Kedougou
Bantata	HoChiMin	KayaBomu
Bantata	HoChiMin	Kakamega
Bantata	HoChiMin	Jeddah
Bantata	HoChiMin	Jaffna
Bantata	HoChiMin	Jacobina
Bantata	HoChiMin	HoChiMin
Bantata	HoChiMin	Ganda
Bantata	HoChiMin	Franceville
Bantata	HoChiMin	Entebbe
Bantata	HoChiMin	ElDorado
Bantata	HoChiMin	Cuiaba
Bantata	HoChiMin	Cuanda
Bantata	HoChiMin	Croix
Bantata	HoChiMin	Coachella
Bantata	HoChiMin	Clovis
Bantata	HoChiMin	CebuCity
Bantata	HoChiMin	Cali
Bantata	HoChiMin	Cairns
Bantata	HoChiMin	Bundibugyo
Bantata	HoChiMin	Boabeng
Bantata	HoChiMin	Bantata
Bantata	HoChiMin	Bangkok
Bantata	HoChiMin	Awka
Bantata	HoChiMin	Arabuko
Bantata	HoChiMin	Amacuzac
