sample	hap	accession	pop	spp	region	contgroup	country
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-10	H004	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-10_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-10	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-10_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-11	H004	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-11_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-11	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-11_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-16	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-16_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-16	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-16_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-17	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-17_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-17	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-17_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-18	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-18_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-18	H004	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-18_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-20	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-20_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-20	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-20_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-24	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-24_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-24	H004	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-24_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-3	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-3_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-3	H004	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-3_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-4	H004	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-4_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-4	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-4_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-5	H004	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-5_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-5	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-5_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-6	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-6_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-6	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-6_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-7	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-7_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-7	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-7_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-8	H001	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-8_1	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-8	H008	Debug01-REPREP-05042017-aegy-Amacuzac-Mexico-8_0	Amacuzac	AAA	South America	Americas	Mexico
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-10	H427	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-10_1	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-10	H278	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-10_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-11	H280	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-11_0	LaLope	AAF	West Africa	Wafrica	Gabon
Debug01-REPREP-05042017-aegy-La_Lope-Gabon-11	H535	Debug01-REPREP-05042017-aegy-La_Lope-Gabon-11_1	LaLope	AAF	West Africa	Wafrica	Gabon
